,id,address,categories,city,country,cuisines,latitude,longitude,priceRangeCurrency,priceRangeMin,priceRangeMax,province,dietary,is_vegan,is_vegetarian,is_both
0,AVwd3yXEkufWRAb59-sH,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Albany,US,Thai,37.885131,-122.297013,,,,CA,Both,TRUE,TRUE,TRUE
5,AVwddQkGkufWRAb56GvX,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",San Diego,US,Indian,33.012662,-117.07859,USD,25,40,CA,Vegetarian,FALSE,TRUE,FALSE
37,AVzHCLzmLD2H7whiWY6R,2265 Broadway,"Restaurant,Juice Bars,Smoothies and Juices,Vegetarian,Beverages Retail,Beverages,Healthy",New York,US,Unclassified,40.785469,-73.979105,,,,NY,Vegetarian,FALSE,TRUE,FALSE
76,AVweaMjhByjofQCxx7-_,102 8th Ave,"Restaurant,Coffee Shops,Beverages Wholesale & Manufacturers,Local/Organic,Vegan Restaurants,Smoothies and Juices,Vegetarian / Vegan Restaurant,Vegetarian,Juice Bar,Vegetarian Restaurants,Healthy,Restaurants",New York,US,Unclassified,40.74056,-74.00171,USD,0,25,NY,Vegetarian,TRUE,TRUE,TRUE
386,AVwegg55ByjofQCxy31X,2019 Post Oak Blvd,"Italian Restaurant,Restaurant,Take Out,Italian,Deli & Sandwich,Vegetarian,Seafood,Government Contractors,Italian Foods,Italian Restaurant Uptown-Galleria,Family Restaurants,Restaurants",Houston,US,Italian,29.744809,-95.460856,USD,25,40,TX,Vegetarian,FALSE,TRUE,FALSE
477,AV8wUPgP3-Khe5l_YOz7,1702 Avenue M,"Restaurant,Sushi,Kosher,Vegan",Brooklyn,US,Kosher,40.61801,-73.95797,,,,NY,Vegan,TRUE,FALSE,FALSE
558,AV8wUqX7a4HuVbedF3Lh,395 Classon Ave,"Restaurant,Desserts,Bakery and Pastries,Vegan",Brooklyn,US,Unclassified,40.687556,-73.959589,,,,NY,Vegan,TRUE,FALSE,FALSE
570,AVzA09pIFcQ3k02bBW2d,307 E 9th St,"American (New),Restaurant,Coffee Shop,Coffee and Tea,Coffeehouses,Coffee Tea Shops,Restaurants",New York,US,American,40.729012,-73.986771,USD,0,25,NY,Vegan,TRUE,FALSE,FALSE
773,AVzA1eii-gnIPe8DScqD,338 E 11th St,"Restaurant,Gluten-free Restaurant,Vegetarian,Coffee and Tea,Bakery,Desserts,Cupcake Shop,Bakery and Pastries,Vegan",New York,US,Unclassified,40.729436,-73.984727,USD,25,40,NY,Both,TRUE,TRUE,TRUE
783,AVwcq1-ZIN2L1WUfnk0I,264 Carlton Ave,"Restaurant,Local/Organic,Coffee Shop,Cafe,Vegetarian,Coffee and Tea,Caf,Healthy,Vegan,Australian Restaurant,Café",Brooklyn,US,Unclassified,40.689791,-73.972179,,,,NY,Both,TRUE,TRUE,TRUE
820,AVwcvAoE_7pvs4fzyYpg,46 Henry St,"Restaurant,Beer and beverages-wholesale and distributors,Vegetarian,Indian restaurants,American restaurants,Indian,Restaurants",Brooklyn,US,Indian,40.699664,-73.99218,USD,0,30,NY,Vegetarian,FALSE,TRUE,FALSE
879,AVzA1F4h3D1zeR_xA_iA,115 Lexington Ave,"Indian Restaurant,Restaurant,Vegetarian,Indian",New York,US,Indian,40.742497,-73.982421,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
916,AVzA19T-FcQ3k02bBX1q,24 Pell St,"Chinese Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Vegetarian,Dim Sum,Chinese,Dim Sum Restaurant",New York,US,Chinese,40.715022,-73.998173,USD,0,25,NY,Both,TRUE,TRUE,TRUE
1181,AVweTi_9kufWRAb5BxZd,54 7th Ave,"Restaurant,Indian Restaurant,Vegetarian,Indian,Indian Restaurant North Slope",Brooklyn,US,Indian,40.6761,-73.974711,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1215,AVwdTaPyIN2L1WUfuZSL,996 Broadway,"Restaurant,Vegetarian,Coffee and Tea",Brooklyn,US,Unclassified,40.695939,-73.933909,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1294,AVzA-gvgFcQ3k02bBadx,95 MacDougal St,"Restaurant,Indian Restaurant,Vegetarian,Indian",New York,US,Indian,40.72948,-74.001087,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1322,AV8wUYfV3-Khe5l_YO5X,135 Metropolitan Ave,"Restaurant,Vegetarian,Sandwiches,Deli / Bodega",Brooklyn,US,Unclassified,40.716353,-73.962198,USD,0,25,NY,Vegetarian,FALSE,TRUE,FALSE
1336,AVzA0-e_FcQ3k02bBW32,544 W 113th St,"Restaurant,Greek Restaurant,Vegetarian,Greek",New York,US,Greek,40.805629,-73.964381,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1367,AVzA1z5y-gnIPe8DSc-y,93 1st Ave,"Indian Restaurant,Restaurant,Vegetarian,Indian",New York,US,Indian,40.726323,-73.986601,USD,0,25,NY,Vegetarian,FALSE,TRUE,FALSE
1396,AVzA1io5-gnIPe8DScus,12 E 32nd St,"Southeast Asian,Restaurant,Vegetarian / Vegan Restaurant,Vegetarian,Korean,Restaurants,Korean Restaurant",New York,US,Korean,40.747272,-73.986576,USD,40,55,NY,Vegetarian,TRUE,TRUE,TRUE
1542,AV8wUUuX3-Khe5l_YO3a,165 W 23rd St,"Restaurant,Vegetarian,Thai",New York,US,Thai,40.744126,-73.994953,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1548,AWLJ4QGaa4HuVbedPgeD,2056 Broadway,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.777514,-73.981746,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1576,AV1TrHycFcQ3k02bFeS-,1411 Foster Ave,"Restaurant,Vegetarian,Chinese",Brooklyn,US,Chinese,40.634074,-73.963581,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1577,AVwdeDlmIN2L1WUfwIsn,4424 16th Ave,"New York City,Restaurant,Vegetarian,Caf and Restaurant Kensington,Kosher,Sandwiches",Brooklyn,US,Kosher,40.633545,-73.983328,USD,7,12,NY,Vegetarian,FALSE,TRUE,FALSE
1593,AV1c4UJua4HuVbed5qj4,41 Wilson Ave,"British (Modern),Vegetarian,Restaurants",Brooklyn,US,British,40.702908,-73.929092,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1603,AV8wUoZya4HuVbedF3K0,91 1st Ave,"Restaurant,Deli Food,Vegetarian,Indian",New York,US,Indian,40.726411,-73.986428,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1715,AWLDrFrYa4HuVbedPf7Y,1306 1st Ave,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.766884,-73.956663,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1742,AV8wURXJ3-Khe5l_YO1P,498 9th Ave,"Restaurant,Middle Eastern,Vegetarian",New York,US,Middle Eastern,40.755618,-73.994267,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1765,AV8wUU_53-Khe5l_YO3o,371 W 34th St,"Restaurant,Vegetarian,Indian",New York,US,Indian,40.753468,-73.995949,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1831,AVwcuSIYkufWRAb5yUxB,235 Dekalb Ave,"New York City,Restaurant,Vegetarian,Indian",Brooklyn,US,Indian,40.68968,-73.96982,USD,12,18,NY,Vegetarian,FALSE,TRUE,FALSE
