id,address,categories,city,claimed,country,cuisines,descriptions.dateSeen,descriptions.sourceURLs,latitude,longitude,menus.amountMax,menus.amountMin,menus.category,menus.currency,menus.name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVwd3yXEkufWRAb59-sH,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Albany,,US,"Thai,Asian/Pacific,Vegetarian",,,37.885131,-122.297013,13.95,3.75,,USD,Baked Kabocha,94706,,,,CA
AVwd3yXEkufWRAb59-sH,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Albany,,US,"Thai,Asian/Pacific,Vegetarian",,,37.885131,-122.297013,13.95,3.75,,USD,Short Grain Brown Rice,94706,,,,CA
AVwd3yXEkufWRAb59-sH,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Albany,,US,"Thai,Asian/Pacific,Vegetarian",,,37.885131,-122.297013,13.95,3.75,,USD,Green Bean Veggie Soup,94706,,,,CA
AVwd3yXEkufWRAb59-sH,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Albany,,US,"Thai,Asian/Pacific,Vegetarian",,,37.885131,-122.297013,8.95,8.95,,USD,"Steamed Broccoli, Carrots and Turnips",94706,,,,CA
AVwd3yXEkufWRAb59-sH,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Albany,,US,"Thai,Asian/Pacific,Vegetarian",,,37.885131,-122.297013,13.95,3.75,,USD,Mixed Green Salad,94706,,,,CA
AVwddQkGkufWRAb56GvX,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",San Diego,,US,"Vegetarian,Indian",,,33.012662,-117.07859,2.49,2.49,Side Orders,USD,Mixed Pickles,92128,USD,25,40,CA
AVwddQkGkufWRAb56GvX,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",San Diego,,US,"Vegetarian,Indian",,,33.012662,-117.07859,6.99,6.99,Appetizers,USD,Cheese Pakora,92128,USD,25,40,CA
AVwddQkGkufWRAb56GvX,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",San Diego,,US,"Vegetarian,Indian",,,33.012662,-117.07859,2.99,2.99,Side Orders,USD,Mango Chutney,92128,USD,25,40,CA
AVwddQkGkufWRAb56GvX,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",San Diego,,US,"Vegetarian,Indian",,,33.012662,-117.07859,1.99,1.99,Traditional Tandoori Breads,USD,Tanoodri Roti,92128,USD,25,40,CA
AVwddQkGkufWRAb56GvX,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",San Diego,,US,"Vegetarian,Indian",,,33.012662,-117.07859,12.99,12.99,Tandoori Sizzlers,USD,Seekh Kebab,92128,USD,25,40,CA
